"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"812619505776099328","https://twitter.com/DataBzh/status/812619505776099328","#Datasnack #41 — Murs d'expression libre à Rennes https://t.co/KIoXRMcYHZ","2016-12-24 11:22 +0000","435.0","6.0","0.013793103448275862","0.0","0.0","0.0","0.0","4.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"812345875708215296","https://twitter.com/DataBzh/status/812345875708215296","#MachineLearning et #DeepLearning, comment ça marche ? https://t.co/LktzCbT6Qe via @Siecledigital","2016-12-23 17:15 +0000","390.0","3.0","0.007692307692307693","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"812294273366376448","https://twitter.com/DataBzh/status/812294273366376448","Tree Troubles - Predicting Sidewalk Damage Resulting From Trees In #NYC : https://t.co/Lv00huD435","2016-12-23 13:50 +0000","337.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"812287025806241792","https://twitter.com/DataBzh/status/812287025806241792","Un mois à #Rennes — Juin 2016 https://t.co/9eiNBYcKZn #socialmedia","2016-12-23 13:21 +0000","465.0","6.0","0.012903225806451613","0.0","0.0","1.0","0.0","5.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"812263371844239360","https://twitter.com/DataBzh/status/812263371844239360","Christmas #Data and Topic Modeling : https://t.co/TK4rGpRNzx via @dataiku","2016-12-23 11:47 +0000","836.0","2.0","0.0023923444976076554","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"812248938015322112","https://twitter.com/DataBzh/status/812248938015322112","MENESR : Fête de la Science et Référentiels en #OpenData : https://t.co/Jw4BVAeCnY via @opendatasoft","2016-12-23 10:50 +0000","1032.0","16.0","0.015503875968992248","3.0","1.0","3.0","0.0","5.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"812203630879195136","https://twitter.com/DataBzh/status/812203630879195136","#DataScience — A non-comprehensive list of awesome things other people did in 2016 : https://t.co/l80pbhAe2v","2016-12-23 07:50 +0000","270.0","1.0","0.003703703703703704","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811977191126929408","https://twitter.com/DataBzh/status/811977191126929408","#RStats — An Interview With Ron Pearson, author of Data Visualization in R https://t.co/O2h6gBEMUZ via @DataCamp","2016-12-22 16:50 +0000","444.0","1.0","0.0022522522522522522","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811954749935415297","https://twitter.com/DataBzh/status/811954749935415297","Data Bzh sur Twitter — Octobre 2016 https://t.co/cWVj2qyVo6 #opensocialdata","2016-12-22 15:21 +0000","368.0","1.0","0.002717391304347826","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811947748324950016","https://twitter.com/DataBzh/status/811947748324950016","Datasnack #41 — Murs d’expression libre à Rennes https://t.co/KIoXRMcYHZ https://t.co/uf9MwfnHOF","2016-12-22 14:53 +0000","426.0","2.0","0.004694835680751174","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811934693557932032","https://twitter.com/DataBzh/status/811934693557932032","#RStats — A Simple Example of Using replyr::gapply : https://t.co/rKlZwYU4mN via @WinVectorLLC","2016-12-22 14:01 +0000","427.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811887824672870400","https://twitter.com/DataBzh/status/811887824672870400","Noël — 3 façons dont le Père Noël utilise le #BigData : https://t.co/wwt9UcDhZi","2016-12-22 10:55 +0000","667.0","4.0","0.005997001499250375","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811872677455654912","https://twitter.com/DataBzh/status/811872677455654912","#RStats for Enterprise: How to Scale Your Analytics Using R : https://t.co/Ag6jFhNvFw via @rstudio","2016-12-22 09:55 +0000","374.0","1.0","0.00267379679144385","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811845025382432769","https://twitter.com/DataBzh/status/811845025382432769","30 Top Videos, Tutorials &amp; Courses on #MachineLearning &amp; Artificial Intelligence from 2016 : https://t.co/hrCczeWZcJ","2016-12-22 08:05 +0000","366.0","3.0","0.00819672131147541","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811623092845940736","https://twitter.com/DataBzh/status/811623092845940736","RT @data2b: Premier événement #Data du #GrandOuest: 
@DataBzh, @data2b et #DataThursday ont besoin de vos réponses:
https://t.co/39PF9QDp6D","2016-12-21 17:23 +0000","448.0","6.0","0.013392857142857142","2.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"811622542209323014","https://twitter.com/DataBzh/status/811622542209323014","#Datasnack #23 — Nombre annuel de mariages à Saint-Malo https://t.co/hBBVMtfX9W","2016-12-21 17:21 +0000","344.0","3.0","0.00872093023255814","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
