"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"1";"Acigné";"35001";"35";"53";6282;3020;48,1402604463661;-1,51626351164546
"2";"Amanlis";"35002";"35";"53";1616;2556;47,9938054733842;-1,4956049572417
"3";"Andouillé-Neuville";"35003";"35";"53";837;1266;48,2987330683123;-1,59134979006098
"4";"Antrain";"35004";"35";"53";1366;942;48,461849447128;-1,47810959005349
"5";"Arbrissel";"35005";"35";"53";290;469;47,9254054025868;-1,29180410455719
"6";"Argentré-du-Plessis";"35006";"35";"53";4273;4143;48,0475702498709;-1,13671003747231
"7";"Aubigné";"35007";"35";"53";487;222;48,2997789363178;-1,63171230038519
"8";"Availles-sur-Seiche";"35008";"35";"53";689;1121;47,9582158613795;-1,18898491003303
"9";"Baguer-Morvan";"35009";"35";"53";1621;2443;48,4988974443974;-1,77329040488144
"10";"Baguer-Pican";"35010";"35";"53";1578;1610;48,5438692437129;-1,68981003951673
"11";"Baillé";"35011";"35";"53";304;531;48,3619077442831;-1,37864060759354
"12";"Bain-de-Bretagne";"35012";"35";"53";7512;6608;47,8423680114811;-1,66921672595137
"13";"Bains-sur-Oust";"35013";"35";"53";3402;4497;47,716463732563;-2,07708880211438
"14";"Bais";"35014";"35";"53";2235;3544;48,0111102582043;-1,30354601493724
"15";"Balazé";"35015";"35";"53";2246;3651;48,1781298732478;-1,17919015067165
"16";"Baulon";"35016";"35";"53";2094;2524;47,9934134095874;-1,9224362583316
"17";"Baussaine";"35017";"35";"53";640;976;48,31199793947;-1,89767165469591
"18";"Bazouge-du-Désert";"35018";"35";"53";1110;2511;48,4443912816417;-1,10191667559133
"19";"Bazouges-la-Pérouse";"35019";"35";"53";1818;5791;48,436799298317;-1,56011005615501
"20";"Hédé-Bazouges";"35130";"35";"53";2099;1472;48,3013630256851;-1,77943482956972
"21";"Beaucé";"35021";"35";"53";1299;841;48,3430785727985;-1,15474142723249
"22";"Bécherel";"35022";"35";"53";722;56;48,2958039468306;-1,94276988356234
"23";"Bédée";"35023";"35";"53";4058;3956;48,1818347483031;-1,95562433580816
"24";"Betton";"35024";"35";"53";10608;2679;48,1814515172059;-1,64470523052542
"25";"Billé";"35025";"35";"53";1038;1702;48,3007588899127;-1,25498309686228
"26";"Bléruais";"35026";"35";"53";107;335;48,1158403381225;-2,1146711009163
"27";"Boisgervilly";"35027";"35";"53";1585;2019;48,168906185855;-2,08136486654182
"28";"Boistrudan";"35028";"35";"53";673;1295;47,9770879891297;-1,39794069950381
"29";"Bonnemain";"35029";"35";"53";1446;2414;48,4725693893064;-1,76504822029588
"30";"Bosse-de-Bretagne";"35030";"35";"53";629;1061;47,8654653644082;-1,591039732426
"31";"Bouëxière";"35031";"35";"53";4121;4989;48,1845959225217;-1,43320979106212
"32";"Bourgbarré";"35032";"35";"53";3737;1479;47,9837444471276;-1,62549243956591
"33";"Bourg-des-Comptes";"35033";"35";"53";3234;2349;47,9249301656588;-1,71501650977433
"34";"Boussac";"35034";"35";"53";1135;2191;48,5155995877887;-1,65203737850683
"35";"Bovel";"35035";"35";"53";595;1461;47,9547101965358;-1,952465174717
"36";"Chapelle-de-Brain";"35064";"35";"53";970;1782;47,700700961631;-1,93030896528403
"37";"Bréal-sous-Montfort";"35037";"35";"53";5510;3396;48,0500436650461;-1,87916705908947
"38";"Bréal-sous-Vitré";"35038";"35";"53";663;578;48,0891949170988;-1,06171088904768
"39";"Brécé";"35039";"35";"53";2051;724;48,1111930925801;-1,48523152831248
"40";"Breteil";"35040";"35";"53";3460;1492;48,1386763143244;-1,90896201452767
"41";"Brie";"35041";"35";"53";850;1373;47,9514924463517;-1,54989760035192
"42";"Brielles";"35042";"35";"53";705;1152;48,007332265723;-1,0948334497174
"43";"Châteaubourg";"35068";"35";"53";6513;2891;48,1184076852433;-1,40496206483942
"44";"Broualan";"35044";"35";"53";386;1290;48,475315822343;-1,66007438872282
"45";"Bruc-sur-Aff";"35045";"35";"53";852;2125;47,8242955117275;-2,01409423814529
"46";"Brulais";"35046";"35";"53";496;1196;47,8946933623643;-2,06691835188062
"47";"Bruz";"35047";"35";"53";16855;2995;48,0267267076159;-1,74509770731904
"48";"Campel";"35048";"35";"53";487;1118;47,9278043920538;-2,0085959040361
"49";"Cancale";"35049";"35";"53";5208;1322;48,6926618352615;-1,8533890692653
"50";"Cardroc";"35050";"35";"53";543;733;48,2838990823915;-1,89452859550987
"51";"Cesson-Sévigné";"35051";"35";"53";16784;3216;48,120805719758;-1,5916040657467
"52";"Champeaux";"35052";"35";"53";476;1040;48,1356006968649;-1,30093797631415
"53";"Chancé";"35053";"35";"53";304;524;48,0329004980721;-1,36716745676558
"54";"Chanteloup";"35054";"35";"53";1788;1797;47,9570606204581;-1,61850020110028
